Cluster Name,Frequency,Questions Count,Questions
Requesting a refund for a deposit,6,6,"How can i get my refundable deposit back
How can i get a refund my deposit
I want to refund my deposit
How do i refund my deposit
I need a deposit refund
How can a refund on my deposit"
Issues with Canvas platform,6,6,"My canvas isnt wokring
Canvas lonin
Canvas not working
Canvas is not working
My canvas is not loading
Canvas wont load"
Email troubleshooting,6,6,"And the email still doesnt work
My email is not working
Email not working
My email wont work
My email doesnt work
My email is down"
Applying for a program,6,6,"I want to apply for this program
How do i apply for catholic scholars program
How can i apply to cls program
How to apply for this program
How can i apply for program
How do i apply to this program"
Contacting Student Financial Services,6,6,"What is the phone number for student financial services
What is the number for the office is student financial services
Where is student financial services located phone number
Office of student financial services number
Phone number for student financial services
What number do i call for student finanical services"
Contacting someone about schedule-related inquiries,6,6,"Who do i contact regarding issues of my schedule
Who do i contact regarding issues with my schedule
Who do i ask questions about my schedule
Where do i talk to someone about my schedule
Who do i talk to if i have a problem with my schedule
Who can i talk to about my schedule"
Setting up a payment plan,6,6,"How do i enroll in the payment plan
How do i make a payment plan
I need to start payment plan
Enroll in a payment plan how i will do it
How do i set up my payment plan
I want to sign up for a payment plan"
Availability of laptops at a school or institution,6,6,"Does st johns give discounts for laptops
Does st john provide students with laptops
Does the school offer labtop to be borrowed by students for classes
Does st johns have free laptops
Does st john have school issued laptops
Does st john give laptops to students"
Freshman dormitory options,6,6,"Freshman dorms
What are the dormitory options for a freshman
What dorm hall is for freshman
Show dorm options for freshman
What dorms do freshman live in
Which residence halls do freshmen mostly stay"
Fully funded scholarships,6,6,"Is there an option for full ride scholarship
Do you offer full ride scholarships
Do you provide full ride scholarships
Do you guys give full ride scholarships
St john provides full scholarships
About fully funded scholarship"
Policy on overnight guests,6,6,"How to overnight a guest
Can i have overnight visitors in summer
When can i have an overnight guest
When are we allowed to have overnight guests
Can overnight guests park the car
How many people can i overnight"
High school senior year,6,6,"High school senior
She is a senior
I am in my senior year already
My daughter is a senior
Im letting you know i am a senior this year
I am a transfer student a senior this year"
Locating and submitting schedule change request forms,6,6,"Where to find the scheduale change request form
Where do i find or get a schedule change request form
Where do i find the schedule change request form
Where do i find a schedule change request form
Where do i find schedule change request form
Where can i find a schedule change request form"
Accessing and obtaining transcripts as an alumni,6,6,"I am a graduate of st johns and i am trying to access my records
I am a graduate of st johns and i am trying to access my transcript
Hi i am an alumni and im trying to get my transcript how do i find it on the website
How a alumni get transcripts but forgot login password
I graduated in 1998 how do i access my transcript online
I am a graduate of st johns i would like to access my official transcript for undergraduate and graduate how can i do that"
Contacting the dean's office,6,6,"How do i contact the dean office
Deans office contact information
I would like contact information for the deans office
What is the deans office phone number to tobin college of business
Deans office contact
Can i talk to someone in the deans office"
Viewing and accessing class/course information,6,6,"How do i viewmy courses
How do i view my class
How can i see whos enrolled in my courses
How can i see my courses
View my courses
How to view my classes and buildong"
